trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code
224390,625,2014-03-23 16:28:00 UTC,MLK Library,11,2014-03-23 16:38:00 UTC,Japantown,9,186,95112
498127,457,2014-10-14 16:11:00 UTC,MLK Library,11,2014-10-14 16:18:00 UTC,Japantown,9,679,95113
32296,750,2013-09-23 21:11:00 UTC,MLK Library,11,2013-09-23 21:24:00 UTC,Japantown,9,686,95212
49538,388,2013-10-07 23:59:00 UTC,MLK Library,11,2013-10-08 00:06:00 UTC,Japantown,9,31,95112
860613,470,2015-07-24 10:34:00 UTC,MLK Library,11,2015-07-24 10:42:00 UTC,Japantown,9,162,95112
677139,484,2015-03-11 11:43:00 UTC,MLK Library,11,2015-03-11 11:51:00 UTC,Japantown,9,262,95113
567142,1242,2014-12-05 10:11:00 UTC,MLK Library,11,2014-12-05 10:31:00 UTC,Japantown,9,664,95122
220538,479,2014-03-19 20:04:00 UTC,MLK Library,11,2014-03-19 20:12:00 UTC,Japantown,9,130,95112
631412,466,2015-02-04 11:49:00 UTC,MLK Library,11,2015-02-04 11:57:00 UTC,Japantown,9,668,95113
520644,256,2014-10-29 09:37:00 UTC,Ryland Park,84,2014-10-29 09:41:00 UTC,Japantown,9,51,95110
971693,231,2015-10-15 08:23:00 UTC,Ryland Park,84,2015-10-15 08:27:00 UTC,Japantown,9,186,95110
1255048,266,2016-06-26 15:23:00 UTC,Ryland Park,84,2016-06-26 15:27:00 UTC,Japantown,9,252,95112
349821,332,2014-07-03 12:09:00 UTC,Ryland Park,84,2014-07-03 12:14:00 UTC,Japantown,9,207,95110
1231696,246,2016-06-08 11:56:00 UTC,Ryland Park,84,2016-06-08 12:00:00 UTC,Japantown,9,694,95112
1174483,344,2016-04-24 11:11:00 UTC,Ryland Park,84,2016-04-24 11:17:00 UTC,Japantown,9,76,95110
1297300,364,2016-07-31 17:15:00 UTC,Ryland Park,84,2016-07-31 17:21:00 UTC,Japantown,9,136,95110
928974,321,2015-09-13 11:28:00 UTC,Ryland Park,84,2015-09-13 11:33:00 UTC,Japantown,9,145,95110
1271035,357,2016-07-10 18:07:00 UTC,Ryland Park,84,2016-07-10 18:13:00 UTC,Japantown,9,700,95112
575306,276,2014-12-13 10:34:00 UTC,Ryland Park,84,2014-12-13 10:39:00 UTC,Japantown,9,661,95110
779027,245,2015-05-23 09:49:00 UTC,Ryland Park,84,2015-05-23 09:53:00 UTC,Japantown,9,256,95110
1270851,385,2016-07-10 12:21:00 UTC,Ryland Park,84,2016-07-10 12:27:00 UTC,Japantown,9,84,95112
822153,529,2015-06-25 13:27:00 UTC,Ryland Park,84,2015-06-25 13:35:00 UTC,Japantown,9,178,95109
560784,329,2014-11-29 11:05:00 UTC,Ryland Park,84,2014-11-29 11:11:00 UTC,Japantown,9,142,95110
271935,280,2014-05-05 09:57:00 UTC,Ryland Park,84,2014-05-05 10:02:00 UTC,Japantown,9,128,95110
361601,610,2014-07-13 15:22:00 UTC,Ryland Park,84,2014-07-13 15:32:00 UTC,Japantown,9,146,95121
506324,643,2014-10-20 09:37:00 UTC,Ryland Park,84,2014-10-20 09:47:00 UTC,Japantown,9,694,95110
371441,390,2014-07-20 11:23:00 UTC,Ryland Park,84,2014-07-20 11:29:00 UTC,Japantown,9,176,95110
598711,272,2015-01-10 11:16:00 UTC,Ryland Park,84,2015-01-10 11:21:00 UTC,Japantown,9,110,95110
842411,336,2015-07-11 12:16:00 UTC,Ryland Park,84,2015-07-11 12:21:00 UTC,Japantown,9,684,95110
1265218,273,2016-07-05 14:56:00 UTC,Ryland Park,84,2016-07-05 15:00:00 UTC,Japantown,9,54,95110
484532,302,2014-10-06 09:27:00 UTC,Ryland Park,84,2014-10-06 09:32:00 UTC,Japantown,9,669,95110
1278829,419,2016-07-15 17:44:00 UTC,Ryland Park,84,2016-07-15 17:51:00 UTC,Japantown,9,694,95110
497478,314,2014-10-14 09:36:00 UTC,Ryland Park,84,2014-10-14 09:42:00 UTC,Japantown,9,195,95110
335105,250,2014-06-23 09:11:00 UTC,Ryland Park,84,2014-06-23 09:15:00 UTC,Japantown,9,27,95110
323798,464,2014-06-13 17:52:00 UTC,Ryland Park,84,2014-06-13 18:00:00 UTC,Japantown,9,124,95112
315262,219,2014-06-08 09:45:00 UTC,Ryland Park,84,2014-06-08 09:49:00 UTC,Japantown,9,713,95110
500673,285,2014-10-15 19:22:00 UTC,Ryland Park,84,2014-10-15 19:26:00 UTC,Japantown,9,296,95110
1076971,321,2016-01-31 13:36:00 UTC,Ryland Park,84,2016-01-31 13:41:00 UTC,Japantown,9,668,95110
1302429,294,2016-08-03 19:52:00 UTC,Ryland Park,84,2016-08-03 19:57:00 UTC,Japantown,9,681,95110
905247,774,2015-08-25 19:41:00 UTC,Ryland Park,84,2015-08-25 19:54:00 UTC,Japantown,9,688,84092
802136,351,2015-06-10 19:48:00 UTC,Ryland Park,84,2015-06-10 19:54:00 UTC,Japantown,9,247,95110
770117,474,2015-05-17 12:24:00 UTC,Ryland Park,84,2015-05-17 12:32:00 UTC,Japantown,9,712,95110
1270854,347,2016-07-10 12:21:00 UTC,Ryland Park,84,2016-07-10 12:27:00 UTC,Japantown,9,36,95112
626349,308,2015-01-31 10:57:00 UTC,Ryland Park,84,2015-01-31 11:02:00 UTC,Japantown,9,141,95110
74521,368,2013-10-28 14:30:00 UTC,St James Park,13,2013-10-28 14:36:00 UTC,Japantown,9,175,95112
900221,269,2015-08-21 14:10:00 UTC,St James Park,13,2015-08-21 14:14:00 UTC,Japantown,9,176,95112
669365,275,2015-03-05 14:30:00 UTC,St James Park,13,2015-03-05 14:34:00 UTC,Japantown,9,647,95113
276065,344,2014-05-07 20:03:00 UTC,St James Park,13,2014-05-07 20:09:00 UTC,Japantown,9,149,95112
914511,397,2015-09-01 15:55:00 UTC,St James Park,13,2015-09-01 16:01:00 UTC,Japantown,9,231,95109
1325481,575,2016-08-22 12:28:00 UTC,St James Park,13,2016-08-22 12:38:00 UTC,Japantown,9,129,95109
771051,385,2015-05-18 09:30:00 UTC,St James Park,13,2015-05-18 09:36:00 UTC,Japantown,9,144,95112
784673,1187,2015-05-28 16:18:00 UTC,St James Park,13,2015-05-28 16:38:00 UTC,Japantown,9,712,95112
941166,1721,2015-09-22 16:24:00 UTC,St James Park,13,2015-09-22 16:52:00 UTC,Japantown,9,688,95112
757744,487,2015-05-07 16:55:00 UTC,St James Park,13,2015-05-07 17:03:00 UTC,Japantown,9,647,95112
1324087,461,2016-08-20 15:26:00 UTC,St James Park,13,2016-08-20 15:34:00 UTC,Japantown,9,105,95112
736575,327,2015-04-22 15:38:00 UTC,St James Park,13,2015-04-22 15:44:00 UTC,Japantown,9,25,95112
134709,307,2013-12-23 22:24:00 UTC,St James Park,13,2013-12-23 22:29:00 UTC,Japantown,9,177,95112
1058915,345,2016-01-12 17:33:00 UTC,St James Park,13,2016-01-12 17:38:00 UTC,Japantown,9,167,95112
1235100,8340,2016-06-10 13:28:00 UTC,St James Park,13,2016-06-10 15:47:00 UTC,Japantown,9,54,95112
723669,400,2015-04-13 18:31:00 UTC,St James Park,13,2015-04-13 18:38:00 UTC,Japantown,9,90,95112
